City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
464,dakhla,23.6848,-15.958,292.95,74,0,2.33,EH,1712895614
465,ribeira brava,32.65,-17.0667,297.43,26,4,1.94,PT,1712895615
466,escanaba,45.7453,-87.0646,282.02,100,100,2.57,US,1712895531
467,kyzylorda,44.8528,65.5092,282.16,57,0,9.0,KZ,1712895615
468,rio grande city,26.3798,-98.8203,295.43,32,73,6.37,US,1712895316
469,pandan,14.0453,124.1694,301.33,78,35,4.35,PH,1712895616
470,beira,-19.8436,34.8389,295.2,88,100,7.72,MZ,1712895616
471,vorkuta,67.5,64.0,267.1,95,100,7.15,RU,1712895616
472,konarka,19.9,86.1167,303.37,39,100,2.34,IN,1712895616
473,dodge city,37.7528,-100.0171,284.4,43,0,2.57,US,1712895616
474,tympaki,35.0729,24.7685,290.8,74,1,1.79,GR,1712895617
475,todiresti,47.3167,26.8333,285.08,73,51,2.46,RO,1712895617
476,khorugh,37.4897,71.553,274.5,57,93,0.62,TJ,1712895617
477,victorica,-36.2151,-65.4359,281.3,85,100,4.94,AR,1712895617
478,villa gesell,-37.2639,-56.973,285.96,60,100,3.13,AR,1712895617
479,barguzin,53.6167,109.6167,279.89,63,100,1.99,RU,1712895618
480,machiques,10.0644,-72.545,301.47,57,88,3.45,VE,1712895618
481,trashi yangtse,27.6116,91.498,291.29,50,29,2.22,BT,1712895619
482,coari,-4.085,-63.1414,297.58,97,100,0.69,BR,1712895448
483,lata,40.1629,-8.3327,286.99,76,90,1.82,PT,1712895620
484,champerico,14.3,-91.9167,302.22,75,64,0.83,GT,1712895620
485,rabo de peixe,37.8,-25.5833,290.92,99,40,0.0,PT,1712895620
486,pangody,65.85,74.4859,262.22,93,100,13.47,RU,1712895621
487,tarfaya,27.9358,-12.9218,292.33,81,0,6.75,MA,1712895621
488,labasa,-16.4167,179.3833,301.92,78,100,1.85,FJ,1712895621
489,kumbo,6.2,10.6667,290.77,80,96,0.81,CM,1712895622
490,alice springs,-23.7,133.8833,299.94,21,2,6.69,AU,1712895575
491,mount gambier,-37.8333,140.7667,289.15,50,100,2.96,AU,1712895622
492,camarinas,43.1311,-9.1817,285.89,74,12,1.41,ES,1712895622
493,homer,59.6425,-151.5483,278.09,62,100,4.63,US,1712895622
494,sastre,-31.7676,-61.8289,288.86,64,100,4.79,AR,1712895623
495,noumea,-22.2763,166.4572,300.37,99,99,2.77,NC,1712895425
496,alofi,-19.0595,-169.9187,300.09,89,40,2.57,NU,1712895623
497,pangkalanbuun,-2.6833,111.6167,306.04,62,66,0.55,ID,1712895624
498,balurghat,25.2167,88.7667,307.3,23,29,3.02,IN,1712895624
499,as sulayyil,20.4607,45.5779,299.29,41,3,5.84,SA,1712895624
500,rongelap,11.1635,166.8941,299.95,77,100,8.58,MH,1712895624
501,gbarnga,6.9956,-9.4722,297.16,97,96,0.83,LR,1712895624
502,ashland,40.8167,-82.2665,289.13,97,100,7.12,US,1712895371
503,kasungu,-13.0333,33.4833,292.19,94,100,3.49,MW,1712895625
504,chimoio,-19.1164,33.4833,291.07,94,75,4.07,MZ,1712895625
505,silute,55.3489,21.4831,280.79,92,100,5.77,LT,1712895625
506,basco,20.4487,121.9702,299.71,83,22,5.26,PH,1712895626
507,warrenton,-28.114,24.8475,282.7,41,0,2.5,ZA,1712895554
508,choyr,46.3611,108.3611,288.63,24,71,8.27,MN,1712895627
509,aras-asan,8.8908,126.3033,301.61,72,79,3.24,PH,1712895627
510,amga,60.8953,131.9608,271.39,93,100,4.5,RU,1712895627
511,zhanaozen,43.3,52.8,283.65,53,0,9.69,KZ,1712895628
512,lubango,-14.9172,13.4925,288.89,88,54,1.54,AO,1712895628
513,flying fish cove,-10.4217,105.6791,302.97,74,75,6.17,CX,1712895628
514,essaouira,31.5125,-9.77,293.73,58,21,5.93,MA,1712895410
515,basoko,1.2391,23.616,296.05,94,100,1.47,CD,1712895629
516,sidi bennour,32.6524,-8.4277,291.73,37,42,4.18,MA,1712895629
517,illapel,-31.6308,-71.1653,286.94,70,100,0.77,CL,1712895454
518,malango,-2.9627,119.9001,294.05,99,100,0.14,ID,1712895629
519,tateyama,34.9833,139.8667,290.43,79,100,6.03,JP,1712895630
520,polyarnyy,69.1989,33.4478,271.83,84,100,8.11,RU,1712895630
521,askino,56.0901,56.5783,282.79,86,84,5.01,RU,1712895630
522,pekan,3.4836,103.3996,306.21,72,100,3.64,MY,1712895630
523,ringkobing,56.0901,8.244,283.72,100,100,8.75,DK,1712895630
524,los mochis,25.7667,-108.9667,295.08,43,75,2.57,MX,1712895383
525,shrigonda,18.6167,74.6833,302.57,40,74,4.95,IN,1712895631
526,ceres,37.5949,-120.9577,295.12,65,0,4.63,US,1712895631
